#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
141,Crimes Against the People,Code Industry,5,105,,,Structure,6/19/2023,4:51,70,91,0,19,43,0,0,-7,G#/A♭ Minor,4,7/27/2023,3MBSKyJa41HpfKmlmBOXKp,Dark Entries Records,1A,https://p.scdn.co/mp3-preview/3fc6b954f6af38a2ed4d2ed7a89c533506171042?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519090db17c8e5f220928f02d5
142,Deep Space - Soft Faith Remix,"Love & Pain,Soft Faith",11,105,,,Deep Space (Soft Faith Remix),5/6/2023,3:39,58,92,1,47,40,0,0,-5,G#/A♭ Major,4,7/29/2023,7pO0tS2pYL37kO1zOzGrE1,Lads Club Recordings,4B,https://p.scdn.co/mp3-preview/ea911bb01cf6e3aeddcb9bb2306be231a36b3d38?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cb21eda14473ecb0da9f9d65
143,Rust (feat. Tom Misch),"Yussef Dayes,Tom Misch",45,97,"british jazz, indie soul, jazz pop","Jazz, R&B, Pop",Rust (feat. Tom Misch),5/31/2023,3:58,65,56,68,87,36,0,10,-13,D Major,4,7/31/2023,1ubbdrZv0EoDc40awvh8Rh,Brownswood Recordings,10B,https://p.scdn.co/mp3-preview/a102c4cbf0e6a55b1dac67cee8f1f5ae82ef325a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108b565a7fb2f890b9b7376a1
144,Open Heart,Jah9,30,83,modern reggae,World/Traditional,Open Heart,5/26/2023,3:53,43,69,27,0,60,20,10,-6,G#/A♭ Minor,4,8/1/2023,2RCubU1KE48yxtxz3pZDnp,VP Records,1A,https://p.scdn.co/mp3-preview/99575bba2de75025b50afe4de131f0f46174e70a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851527c0037e433bc10311a53cc
145,Clemency,NAVVI,17,118,etherpop,Pop,Clemency,3/3/2023,5:27,67,60,54,62,16,0,0,-10,C♯/D♭ Minor,4,8/2/2023,3x2EdTxzEahWHKMApJSyRy,Hush Hush,12A,https://p.scdn.co/mp3-preview/5baf3e820a4ca1eaad7767ecaf2440f3ba9d1404?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515f67976c6d84e731ae5edbf4
146,Moqueca,"Captain Planet,Zuzuka Poderosa,Raphael Futura",36,110,"deep german punk, rap latina, ","Folk/Acoustic, Latin",Sounds Like Home,6/9/2023,4:04,79,74,9,42,84,0,10,-8,C Major,4,8/3/2023,5sZPAUNM7hFOwsGGln1Tku,Bastard Jazz Recordings,8B,https://p.scdn.co/mp3-preview/6e02dfc14fd3883e197d2c91ad16dc43f92fbea3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518aec2af4b72c63ae04197f48
147,Get Better,Kimmortal,14,136,bc underground hip hop,Hip Hop,Shoebox,7/7/2023,1:54,83,57,2,0,47,20,0,-9,A#/B♭ Major,4,8/4/2023,5HoFVcSU0R6nk4u34X7wk9,Independent,6B,https://p.scdn.co/mp3-preview/1f7cd1606f7dcce6a3d386d6569adab3dd887d35?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b5155f97e5ec4705823b8873
148,Heavier,"ODESZA,Yellow House",45,170,"chillwave, edm, indietronica, south african alternative","Rock, Electronic, Pop, World/Traditional",Flaws in Our Design,7/21/2023,4:17,45,88,0,2,40,0,0,-6,C♯/D♭ Minor,4,8/7/2023,4JBRlhgxP6tkb31KCfM88R,Ninja Tune,12A,https://p.scdn.co/mp3-preview/1def20fb4650dc6bf70aa42b0588255fe5ddeed7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bbfaefa65acee44b0db57588
149,Tape Rewind,Film School,30,125,"american shoegaze, dreamgaze, nu gaze, shoegaze",Rock,Tape Rewind,6/21/2023,4:01,38,56,0,91,33,0,20,-7,F Major,4,8/8/2023,7E8IhD7CFlw6xcTv0bfeDa,felte,7B,https://p.scdn.co/mp3-preview/52d278e8ca0cd6f5088bc080dfd760d199214a72?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a189be5d20d9f6b581bfc4e1
150,Short Centuries,Upper Wilds,10,178,,,Jupiter,7/21/2023,3:32,17,86,0,55,45,0,70,-5,F Major,4,8/9/2023,1VvUyog11g09cmu3TVRb7J,Thrill Jockey,7B,https://p.scdn.co/mp3-preview/0b94c1b60e84a00121f89e711d1ed7ff05557601?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b966f789b8ff2de6883f4d1
