#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
231,"Dream Cleaver","Death Valley Girls",0,132,"action rock, indie punk, la indie","Rock, Pop","Dream Cleaver",2019-08-09,03:13,45,89,0,74,67,0,30,-6,A Minor,4,2019-11-27,6cQvUX1oh4OhflMzAr1OCQ,"Suicide Squeeze Records",8A,,https://i.scdn.co/image/ab67616d00004851c19ccb038092f4324188ae0b
232,"Hardly to Blame","Sheer Mag",1,130,"indie punk, indie rock, philly indie","Rock","A Distant Call",2019-08-23,03:07,65,90,0,86,82,0,0,-6,D Major,4,2019-11-28,0x5JYHZbiApyi17eriw0eC,"Sheer Mag LLC",10B,,https://i.scdn.co/image/ab67616d00004851e748a0869d023db45217d232
233,"25, Alive","Oh, Rose",0,160,"olympia wa indie","Rock","While My Father Sleeps",2019-08-23,02:43,41,70,15,3,53,0,0,-5,F Major,4,2019-11-29,6CzJOMgkdsVcg84rlwCGX6,"Park The Van",7B,,https://i.scdn.co/image/ab67616d00004851a715eb8ca287055ef4d1be56
234,"Supermoon","Charly Bliss",0,129,"bubblegrunge, indie punk, modern power pop","Rock, Pop","Supermoon",2019-10-30,03:04,59,83,0,0,63,0,10,-5,B Minor,4,2019-12-02,3mHc137C0W9u8OVYYhRqrb,"Lucky Number",10A,,https://i.scdn.co/image/ab67616d00004851e7a9c8def08de8b203f323b4
235,"Vodník","Katarina Malikova",11,100,"slovak indie","Rock","Postalgia",2019-11-08,05:37,54,76,1,3,14,0,0,-11,D Major,4,2019-12-03,3WQM1BqkQtOTYbtr40n5Zq,"Slnko Records",10B,https://p.scdn.co/mp3-preview/d5e1fb4ecfaf6b6d6f7414b2e8d34803bbd2f873?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518bf2475eda6344c4eedb5dc3
236,"Keep On Going","SONS",16,113,"belgian indie, belgian indie rock","Rock","Family Dinner",2019-04-19,02:11,37,98,0,4,39,0,30,-6,A Major,4,2019-12-05,2sgG7NStd4lWp9dCnR2q4l,"Virgin Music Label And Artist Services Benelux",11B,,https://i.scdn.co/image/ab67616d0000485132e0bb4d58dc9879420b87f1
237,"We Have It Right Here","Æ MAK",0,98,"art pop, irish pop, modern alternative pop","Pop","We Have It Right Here",2019-03-01,03:39,75,31,88,0,49,0,10,-11,F Major,4,2019-12-05,6ATBpgW1p58ICuA6gavVU9,"Spinnup",7B,,https://i.scdn.co/image/ab67616d00004851441189d22e5bbd0c068e0877
238,"I Liked It When You Weren't Yourself","The Sunday League",0,115,"","","I Liked It When You Weren't Yourself",2019-10-21,03:55,52,88,0,4,72,0,10,-6,C Major,4,2019-12-09,2LBHdysC0PGk0TcvbBGCn5,"The Sunday League",8B,https://p.scdn.co/mp3-preview/e847ae54c73c53c5868ba989cd3bfebfd7f53444?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519023f55f0e971d8afc2576ec
239,"Between Me and My Maker","Kele",0,114,"","","2042",2019-11-08,05:59,60,74,8,0,22,0,0,-8,B Minor,4,2019-12-11,0IP7hdr19iulaCFaG76swg,"Kola",10A,,https://i.scdn.co/image/ab67616d0000485125b79b20131766449d32bc5a
240,"On Your Side","The Innocence Mission",0,112,"ambient folk, lancaster pa indie","Folk/Acoustic, Rock","On Your Side",2019-10-29,03:34,46,38,98,4,15,0,10,-8,A Major,4,2019-12-11,1RFIbRO3epdU3BR1fQHVm3,"Bella Union",11B,,https://i.scdn.co/image/ab67616d00004851c2d0f690cab442d937fb9d6c
241,"She Knows","Graham Coxon",26,130,"britpop, solo wave","Pop, Rock","She Knows",2019-11-04,03:04,54,45,12,0,18,0,20,-8,A Minor,4,2019-12-12,0ghXz4kvDCkdwStXOeHp6i,"Graham Coxon",8A,https://p.scdn.co/mp3-preview/1453589ef62d261ac289e1041fcb7a4d9ff0a09b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f516fb15999dfd656461c54d
242,"High Rise","Somesurprises",0,140,"neo-kraut","Folk/Acoustic","somesurprises",2019-09-20,05:08,17,75,36,87,13,0,20,-7,A Major,4,2019-12-13,6pcyGiFry1qnMRt2CZRjNy,"Drawing Room Records",11B,,https://i.scdn.co/image/ab67616d0000485152ee3b46a37b61ef1618734b
243,"Howl","Avalanche Party",15,137,"english indie rock","Rock","24 Carat Diamond Trephine",2019-11-22,03:04,34,88,4,0,43,0,0,-5,B Major,4,2019-12-16,7l2BfZYKC02w9RpaAVITMT,"So Knee Records",1B,https://p.scdn.co/mp3-preview/5c227c56963191b6f18953488451d04f1bc95dfd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc93fed3b7529956d5017aed
244,"Against the Day","Wolf Parade",0,125,"canadian indie, indie rock, indietronica, noise pop, quebec indie","Rock, Pop","Against the Day",2019-10-16,04:12,52,86,3,0,70,0,20,-5,D#/E♭ Major,4,2019-12-17,2E73KHhNlLFZBg4rmWyJmO,"Sub Pop Records",5B,,https://i.scdn.co/image/ab67616d00004851f61e7e4787dfa379817a5d2a
245,"Holding Pattern","Allah-Las",32,122,"indie surf, neo-psychedelic, noise pop","Rock, Folk/Acoustic, Pop","LAHS",2019-10-11,04:08,56,59,15,28,67,0,10,-10,G Major,4,2019-12-18,3AgP1bWrMhphrYOWxDe8iz,"Mexican Summer",9B,https://p.scdn.co/mp3-preview/63cee5b58ad4723e072b93e39134b24efa4d8165?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515cba284c7035743cd4cba086
246,"You and I","Caribou",0,112,"alternative dance, art pop, electronica, folktronica, indietronica, intelligent dance music, trip hop","Rock, Pop, Electronic, Folk/Acoustic, New age","You and I",2019-12-04,04:03,73,50,7,12,48,0,10,-8,A Minor,4,2019-12-19,7g1viTjOfJeukhFPjv9Osf,"City Slang",8A,,https://i.scdn.co/image/ab67616d00004851654b44976f1e4293ab218d4f
247,"IUD","Lisa Prank",0,163,"bubblegrunge, indie punk","Rock","Perfect Love Song",2019-10-04,02:11,29,84,3,0,68,0,10,-5,C Major,4,2019-12-20,44gc3t8ot6UAwBnAktxUp7,"Father/Daughter Records",8B,,https://i.scdn.co/image/ab67616d00004851b410e8584a34cfab5506cec9
248,"Christmas Time Is Here (Uh Oh)","Telekinesis",0,164,"seattle indie","Rock","Christmas Time Is Here (Uh Oh)",2019-10-25,02:05,48,74,13,0,74,0,0,-7,G Major,4,2019-12-23,1lRguREWXLzSfDUt2rpuTM,"Merge Records",9B,,https://i.scdn.co/image/ab67616d00004851aa58d29968c5bcf93755132e
249,"No Gifts for Nazis","Alice Bag",0,197,"chicano punk","Rock","No Gifts for Nazis",2019-11-29,01:58,16,97,1,0,33,10,20,-3,D Major,4,2019-12-24,0sFD6c8X9WuhurRhRZKiB1,"Get Better",10B,,https://i.scdn.co/image/ab67616d00004851a17ca6ebf6eb2101800a03c6
250,"Kimchi for Christmas","Champagne Honeybee",1,119,"","","Kimchi for Christmas",2014-11-18,02:20,62,37,84,0,44,0,10,-10,C Major,4,2019-12-26,7lK0I0jaEYcbtpVdCkLARk,"Champagne Honeybee",8B,https://p.scdn.co/mp3-preview/9324051fe3116bfa22ef1bceb2c2f79102ebf873?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f29da91be4993ba4c9b0c60f
251,"Coconut","The Pack a.d.",0,109,"canadian garage rock, garage rock, garage rock revival, modern blues rock, vancouver indie","Rock, Blues","Coconut",2016-12-30,01:49,42,92,0,0,8,10,10,-4,C♯/D♭ Minor,4,2019-12-27,6i0gXZB9IZ670grLaAUUNM,"Cadence Music",12A,https://p.scdn.co/mp3-preview/0234dea253879b9f242b0e4a39e9ee61ea55f127?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d2e07084eea5545a7869fa52
252,"Flowers of Light","Caspian",0,144,"american post-rock, boston rock, instrumental post-rock, post-rock","Rock","Flowers of Light",2019-11-14,05:01,47,94,0,90,29,0,20,-5,B Minor,1,2020-01-06,3xAeu8CO2VIJsWiHuD2g4n,"Triple Crown Records",10A,,https://i.scdn.co/image/ab67616d0000485132928602f1e1b320d29ae6e6
253,"Riding Solo","Hinds",0,176,"bubblegrunge, indie surf","Rock","Riding Solo",2019-12-03,03:36,40,91,0,20,54,0,20,-5,D Major,4,2020-01-06,3DSR37UmPY0V3Q8GFwPMIR,"Lucky Number",10B,,https://i.scdn.co/image/ab67616d00004851053d8ad11b81e5477acb8c5b
