#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
185,Still,"Lil Silva,Sampha,Ghetts",37,95,"future garage, uk funky, vogue, alternative r&b, indie soul, grime, uk hip hop","R&B, Electronic, Hip Hop, Pop",Yesterday Is Heavy,7/15/2022,4:07,80,57,37,9,32,20,10,-11,A#/B♭ Minor,4,9/22/2022,7lBNPNIewZf6d1DJjRtlj8,Nowhere Music Ltd,3A,https://p.scdn.co/mp3-preview/303e6f0d32cf612f211d1d7764cc7e3f0d3a0e70?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cc8ad585dd2a87c25190edfd
186,Let It Go,"Livt,Dave B.",13,67,seattle hip hop,Hip Hop,Let It Go,7/29/2022,2:46,68,37,54,0,56,40,0,-12,A Minor,4,9/23/2022,41CadRi4aZhMsFYbBob04v,DAY ONE ENT.,8A,https://p.scdn.co/mp3-preview/e9dba722805b35fb1c28e0f2d32f7d5d2967a3be?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510f7bdabc81283cfacec73779
187,Little Black Diamond,Rocky Votolato,6,119,,,Wild Roots,9/9/2022,2:44,75,21,79,0,65,0,20,-13,D#/E♭ Major,4,9/27/2022,05pmHlcsm0WWatzOQkE94X,Thirty Something Records,5B,https://p.scdn.co/mp3-preview/ad592d1fdf16828f41e70c90f2eec6f9a35649c6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485158fb7f552ae1d163ff0ae03c
188,Skulls,Peter Matthew Bauer,18,90,garage psych,Folk/Acoustic,Flowers,9/23/2022,4:46,27,86,13,18,65,0,0,-6,B Major,4,9/28/2022,50KEcf49Af1ujq7vRQ9btN,Fortune Tellers,1B,https://p.scdn.co/mp3-preview/9b77e295a630a832a7b4890253b29e8817a7cfe7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851465a2de1c3f2cb80b27788ea
189,In My Arms,Big Joanie,4,145,"black punk, bubblegrunge, queercore, riot grrrl",Rock,In My Arms,7/27/2022,3:22,51,88,18,0,71,0,0,-4,C Major,4,9/29/2022,0p7WNbbixtQEBBDUuEpycT,Daydream Library,8B,https://p.scdn.co/mp3-preview/561fffe4b27b2062824c5d07d9bb1ae5e917c44a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485119cf4e59e0e13b8712fd465b
190,Sunbeam,Cumulus,0,120,seattle indie,Rock,Sunbeam,8/18/2022,2:58,57,72,21,0,50,0,10,-6,C♯/D♭ Major,4,9/30/2022,0uBFVhLXgQEFvBzBiXod42,Share It Music,3B,,https://i.scdn.co/image/ab67616d000048514c377cb5b5f65b61f98a26a7
191,Seasons Change,MorMor,0,132,canadian contemporary r&b,R&B,Seasons Change,8/25/2022,2:29,79,76,19,54,67,0,20,-8,C Major,4,10/3/2022,36ZL5lijTM6ohAOr2i5lnv,Don't Guess,8B,,https://i.scdn.co/image/ab67616d0000485197742413a5dffdbb1e01a78c
192,Distraction,Ty Segall,27,132,"bay area indie, garage rock, indie rock, lo-fi, neo-psychedelic, noise pop, noise rock, oc indie","Rock, Folk/Acoustic, Pop, R&B",Hello Hi,7/22/2022,5:10,58,47,11,0,21,0,10,-10,C Major,4,10/4/2022,7eRNT48fKCtZkq8ASyJGVS,Drag City,8B,https://p.scdn.co/mp3-preview/db6de23ab3586c99d4e52da6038c73f9fcfe64a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d3c76c9f6c6ed649518321cc
193,Like You,Miss Grit,9,93,,,Like You,9/21/2022,3:50,70,59,10,73,19,0,10,-9,D Major,4,10/5/2022,3PU4Jz0UNRzlyjSXZyJhNO,Mute,10B,https://p.scdn.co/mp3-preview/e1a9ab8d1f3dc48ae5cf1469ed3f12c33023ef69?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ec5618e924669d45d7c1e6b5
194,Cujo Kiddies,Disq,0,112,wisconsin indie,Folk/Acoustic,Cujo Kiddies,7/20/2022,3:51,82,69,2,65,54,0,10,-9,A#/B♭ Major,4,10/6/2022,4pRuTo2NDiLE8HTPv9VpNE,Saddle Creek,6B,,https://i.scdn.co/image/ab67616d00004851cd8c4bd494e4b1cad66d07c3
195,Lex Luthor,TeZATalks,12,120,alt z,Pop,Lex Luthor,4/8/2022,2:26,86,77,2,5,35,20,30,-8,B Minor,4,10/7/2022,6GuTQfGWR5Og4w8FjA66SO,TEZATALKS,10A,https://p.scdn.co/mp3-preview/3c00fbbe41e1eb7f708dc6371db01028458a84f5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851efaefe1661f53a9e356315df
196,Escribiendo La Historia,Mare Advertencia Lirika,13,89,"rap femenino mexicano, rap latina",Latin,Siempreviva,3/3/2022,3:16,82,71,2,0,89,30,0,-7,A#/B♭ Minor,4,10/10/2022,60GEE9TRNGRT9v85KnMAyX,MuyMAL,3A,https://p.scdn.co/mp3-preview/3ebbd09d6cf29395b4a2d88122d24730810bb81c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c1425a33e704f42ab010643c
197,Tall Grass,Digging Roots,7,144,"canadian folk, canadian indigenous music",Folk/Acoustic,Zhawenim,6/24/2022,3:53,58,58,3,0,48,0,10,-9,G#/A♭ Major,4,10/11/2022,1MJfQoWuaRsYHTVxGwWkim,Ishkode Records,4B,,https://i.scdn.co/image/ab67616d000048510d19de5b0a071cb60b08a61d
198,Tengauryugtua (I Want To Fly),Byron Nicholai,16,124,alaska indie,Country,Ayagnera (The Beginning),3/25/2022,3:38,68,34,6,0,45,0,0,-11,G#/A♭ Major,4,10/12/2022,388iVdAJt7PedABnls4Vth,Tuallu Entertainment,4B,https://p.scdn.co/mp3-preview/8d1760f90ca21c69cb55e3342686ee989cbb8058?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fb6438c8a8e99c03b2af9eb2
199,Trans 101 (Scarim),Bobby Sanchez,28,84,,,Prophecy,6/24/2022,2:39,74,66,47,0,59,40,0,-10,C♯/D♭ Major,4,10/13/2022,2qlHAUxjsB0mBpGOKSqNx3,Harawiq Records,3B,https://p.scdn.co/mp3-preview/ebf82731546c323f0d398423e1aaccba8bdb255b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510e39ed67a325f0430a345435
200,Red Sky at Night - Remix,"Snotty Nose Rez Kids,Taabu,Shad",22,123,"canadian indigenous hip hop, canadian trap, canadian hip hop, canadian old school hip hop, conscious hip hop",Hip Hop,Red Sky at Night (Remix),3/25/2022,3:56,81,84,4,0,78,20,30,-6,A Minor,4,10/14/2022,0ZlZixN3jgIiqoMrVuxpM1,Distorted Muse / Fontana North,8A,https://p.scdn.co/mp3-preview/67266e2dd26e3a6e0db958c158fcdfdbb9b1a198?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510fb519d18017e15b1d58eb74
201,Turn Me Around,STR4TA,13,126,"acid jazz, broken beat, indie jazz, uk contemporary jazz","Jazz, Electronic",Turn Me Around,9/15/2022,5:15,70,76,1,49,96,0,30,-10,B Minor,4,10/17/2022,11dgi8j30NL7Plk68txwEr,Brownswood Recordings,10A,https://p.scdn.co/mp3-preview/80dc01cd3ecc4b5043565c0f1876e705e6751f08?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c68fab6766add40808f09bbd
202,Emotional,"Benedek,Devin Morrison",8,100,"synth funk, indie r&b, neo r&b",R&B,Zebrano,9/30/2022,3:12,53,93,2,12,63,0,20,-7,A#/B♭ Minor,4,10/18/2022,72twjODfufNCrd2htWx8u9,Apron Records,3A,https://p.scdn.co/mp3-preview/a3e82adf136f055675ea30163ad866d411a81cfa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ee01212a9d3a510ef3769f40
203,Untethered,PVA,33,120,"alternative dance, crank wave",Rock,BLUSH,10/14/2022,3:36,66,90,0,14,68,0,0,-6,G Major,4,10/19/2022,13XmYlS0cP23imVa4r5zTd,Ninja Tune,9B,https://p.scdn.co/mp3-preview/ec222f7cf5842aa4caa446f90a51263b6a4a496c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519bce8f70b05c5a8a1dce0b6a
